Geo Point,Official Name Suburb
"-17.563807322165424, 146.03688401021788",Comoon Loop
"-21.132587260454745, 149.18888122126518",Cremorne (Qld)
"-26.88703957385063, 150.49860631801505",Crossroads
"-28.154130549074885, 153.46278255583272",Currumbin Waters
"-25.48025881156663, 151.88022329279815",Didcot
"-17.92174752728767, 145.81868281396632",Dingo Pocket
"-25.600848722138238, 151.53607206169423",Dirnbir
"-27.17979083455329, 151.9110467939212",Djuan
"-26.633035957188174, 149.9243723039953",Drillham
"-27.49698447792004, 153.4074766010421",Dunwich
"-14.98265658894703, 142.44074200441372",Edward River
"-25.368108886657957, 151.05018107474348",Eidsvold
"-27.1434535727316, 152.21411623841178",Eskdale (Qld)
"-21.124015652846108, 148.4819777736344",Eungella (Qld)
"-17.514061831230297, 145.49390184532703",Evelyn
"-27.72496204413825, 152.10571289123146",Fordsdale
"-27.938932321970242, 152.52822292452043",Frazerview
"-23.845067068069465, 149.9089670385375",Gainsford
"-26.61699876712028, 152.01509566745318",Glan Devon
"-28.908986918517975, 151.4470379152634",Glenlyon (Qld)
"-27.996551243333045, 152.2106987530245",Goomburra
"-20.482539654111005, 148.65146263410847",Goorganga Plains
"-27.34121159869758, 151.96082296746997",Groomsville
"-9.901188913764154, 142.7752078305729",Iama Island
"-26.6026524490993, 152.93488896702254",Image Flat
"-24.844234837166866, 152.3853363701478",Kalkie
"-26.398821794647812, 152.6250428300345",Kandanga Creek
"-27.516092495255755, 152.93794248755773",Kenmore
"-24.87546235548976, 152.37592688688318",Kepnock
"-26.2151401605989, 151.73821557605044",Keysland
"-27.170166293561735, 152.82078775925262",King Scrub
"-25.025527030142452, 152.44840440532954",Kinkuna
"-27.2242230954618, 153.08337644575354",Kippa-Ring
"-17.755493890508685, 146.0841709936001",Kurrimine Beach
"-20.623682730402003, 148.66696037090801",Laguna Quays
"-17.249483323851994, 145.64951538727675",Lake Barrine
"-26.806832295935443, 152.990804264584",Landsborough (Qld)
"-27.61234430801807, 151.66539476972324",Linthorpe
"-28.05106013017437, 153.23780062054593",Lower Beechmont
"-24.61364404216011, 151.70718656755722",Lowmead
"-27.53537948851558, 153.1042194493754",Mansfield (Qld)
"-22.979742918605748, 150.61818442738948",Maryvale (Livingstone - Qld)
"-27.027119060963713, 153.06972262183655",Meldale
"-17.895484733152685, 145.9600026024596",Midgenoo
"-27.548446124264014, 152.54674723278924",Minden
"-23.197216390459996, 150.0681244075517",Morinish
"-26.796289579800042, 148.5034093007111",Mount Abundance
"-26.816512629480922, 152.9324906758463",Mount Mellum
"-16.273827580015695, 143.99085268291563",Mount Mulgrave
"-27.458174414054067, 152.48073418809852",Mount Tarampa
"-27.731058555416837, 153.20536396692282",Mount Warren Park
"-27.724079498659755, 152.37221040277095",Mulgowie
"-26.23801847664038, 151.94571788445376",Murgon
"-18.129172031562838, 145.80590755043377",Murray Upper
"-26.84985482899592, 151.865491666851",Neumgna
"-27.555991723537737, 151.93257922882725",Newtown (Toowoomba - Qld)
"-25.32467426466975, 152.81999753389255",Nikenbah
"-28.178356376932406, 149.5279567299326",North Bungunya
"-25.17698496242621, 152.26431847163994",North Isis
"-27.57950798159327, 152.7894591915403",North Tivoli
"-19.24885609742253, 146.80830232221476",North Ward
"-27.369119070880586, 153.0915081795804",Nudgee
"-28.42700297888701, 151.3382775722638",Oman Ama
"-19.292591028931465, 146.8160723577807",Oonoonba
"-23.098446008288295, 150.73557152802445",Pacific Heights
"-27.94011976346409, 153.31436135582015",Pacific Pines
"-16.922932001913203, 145.7639539259888",Parramatta Park
"-27.536011384142927, 152.71692942563857",Pine Mountain (Qld)
"-25.665379859307166, 152.5677995123101",Pioneers Rest
"-25.902961590221324, 153.07547762953453",Rainbow Beach
"-26.64399222692253, 150.64500876773585",Red Hill (Western Downs - Qld)
"-28.112462942140322, 153.39636871942537",Reedy Creek (Qld)
"-27.919314528996622, 152.70762191803206",Roadvale
"-24.108355736505473, 151.61648523393274",Rodds Bay
"-27.530842252857383, 152.98170567605789",Sherwood (Qld)
"-28.354423220912075, 152.00829803648702",Silverwood
"-21.08103830679994, 149.21220070458864",Slade Point
"-16.82486171843909, 145.6898026261371",Smithfield (Qld)
"-28.796727143601554, 151.0773408411566",Smithlea
"-27.770946934585773, 153.3920100486829",Southern Moreton Bay Islands
"-27.68540866674893, 152.91789691706396",Springfield Lakes
"-19.32168366148336, 146.86001029231366",Stuart (Qld)
"-27.1539854408411, 149.06335457089745",Surat
"-28.038612943893103, 151.88451431435303",Talgai
"-27.495958180385266, 152.55417151197443",Tarampa
"-27.96943971231024, 152.64691033275665",Templin
"-23.175538570536958, 150.46392294988945",The Caves
"-28.34284263825959, 151.92291364760376",The Glen (Qld)
"-23.077275907368925, 147.62098587588545",Theresa Creek (Qld)
"-20.09036533003911, 146.25057798386175",Towers Hill
"-25.6834406821714, 152.87492787380484",Tuan
"-17.941227699589437, 145.92285526413602",Tully
"-26.16954428141897, 152.63177909936672",Two Mile
"-24.418992072016565, 150.7691925044245",Valentine Plains
"-25.50717815398495, 152.74608870335743",Walkers Point
"-27.029802499997807, 152.86815722024573",Wamuran
"-28.214356437828357, 152.0327892758876",Warwick (Qld)
"-29.11086147846932, 151.32475298655925",Watsons Crossing
"-26.457232323839076, 151.96238379339442",Wattle Camp
"-28.360278366148897, 149.0988149733484",Weengallon
